city,cloudiness,country,date,humidity,lat,lon,main_temp,max_temp,pressure,timezone,visibility,wind.deg,wind_speed
Doha,0.0,QA,1603590143.0,65.0,25.29,51.53,24.32,25.0,1012.0,10800.0,10000.0,320.0,1.5
Lorengau,44.0,PG,1603590143.0,60.0,-2.02,147.27,30.16,30.16,1009.0,36000.0,10000.0,80.0,3.07
Anatolikó,100.0,GR,1603590143.0,57.0,40.66,22.71,17.06,17.78,1011.0,7200.0,10000.0,355.0,1.18
Punta Arenas,90.0,CL,1603590143.0,93.0,-53.15,-70.92,5.77,6.0,1009.0,-10800.0,10000.0,80.0,6.2
Santo Antônio do Içá,33.0,BR,1603590143.0,76.0,-3.1,-67.94,25.42,25.42,1009.0,-14400.0,10000.0,11.0,0.91
Marabu,40.0,MY,1603589890.0,88.0,4.41,114.01,27.89,28.0,1011.0,28800.0,10000.0,0.0,1.0
Port Alfred,1.0,ZA,1603590143.0,90.0,-33.59,26.89,18.43,18.43,1012.0,7200.0,10000.0,259.0,3.21
Khuzdar,0.0,PK,1603590144.0,37.0,27.74,66.64,12.28,12.28,1014.0,18000.0,10000.0,302.0,2.51
Hilo,20.0,US,1603590144.0,66.0,19.73,-155.09,25.48,29.0,1012.0,-36000.0,10000.0,130.0,7.2
Kīhei,40.0,US,1603590144.0,49.0,20.79,-156.47,28.06,33.0,1012.0,-36000.0,10000.0,40.0,6.2
Ponta do Sol,20.0,PT,1603589847.0,72.0,32.67,-17.1,15.63,18.0,1027.0,0.0,10000.0,340.0,3.1
Ribeira Grande,100.0,PT,1603590144.0,78.0,38.52,-28.7,18.93,18.93,1026.0,-3600.0,10000.0,324.0,6.32
Shīeli,100.0,KZ,1603590144.0,62.0,44.17,66.75,4.57,4.57,1028.0,18000.0,10000.0,170.0,3.09
Hirara,40.0,JP,1603590145.0,60.0,24.8,125.28,24.41,25.0,1018.0,32400.0,10000.0,50.0,6.7
Qarayeri,20.0,AZ,1603590145.0,71.0,40.79,46.31,11.0,11.0,1019.0,14400.0,10000.0,200.0,3.1
Yārāda,40.0,IN,1603589848.0,100.0,17.65,83.27,24.0,24.0,1010.0,19800.0,1500.0,0.0,1.0
Pisco,0.0,PE,1603590145.0,82.0,-13.7,-76.22,16.86,17.0,1015.0,-18000.0,10000.0,220.0,5.7
Qaanaaq,100.0,GL,1603590145.0,92.0,77.48,-69.36,-8.08,-8.08,1011.0,-10800.0,1128.0,86.0,5.75
Popondetta,26.0,PG,1603590145.0,52.0,-8.75,148.25,32.94,32.94,1010.0,36000.0,10000.0,47.0,3.25
Cape Town,40.0,ZA,1603590085.0,82.0,-33.93,18.42,15.22,15.56,1017.0,7200.0,10000.0,0.0,1.0
Rock Sound,100.0,BS,1603590146.0,82.0,24.9,-76.2,25.93,25.93,1014.0,-14400.0,10000.0,149.0,7.85
San Patricio,20.0,US,1603590146.0,60.0,28.02,-97.52,19.76,21.67,1015.0,-18000.0,10000.0,120.0,2.1
Sembakung,100.0,ID,1603590146.0,80.0,3.82,117.25,27.47,27.47,1012.0,28800.0,10000.0,265.0,0.63
Santander,100.0,ES,1603590146.0,55.0,43.46,-3.8,19.25,19.44,1009.0,3600.0,7000.0,210.0,9.8
Mayo,75.0,US,1603590146.0,77.0,38.89,-76.51,16.55,17.22,1017.0,-14400.0,10000.0,10.0,5.7
